source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Novosphingobium	Methylobacterium adhaesivum	1	1.4802973661668778e-17	9.868649107779168e-32	4.9343245538896665e-18	['Sediment_(non-saline)']
Novosphingobium	Nitrospira	1	1.990315786442857e-31	4.975789466107144e-32	1.306144734853125e-31	['Animal_proximal_gut']
Novosphingobium	Pilimelia	1	4.032517913268983e-06	3.980631572885715e-31	8.065035826537966e-07	['Animal_proximal_gut']
Novosphingobium	Flavobacterium columnare	1	1.480297366166875e-31	2.467162276944792e-32	7.753938584683631e-32	['Sediment_(non-saline)']
Novosphingobium	Adhaeribacter	1	8.879103599893785e-09	2.487894733053572e-32	8.879107426275883e-10	['Animal_proximal_gut']
Novosphingobium	Opitutus	1	2.467162276944792e-31	9.868649107779168e-32	1.644774851296528e-31	['Sediment_(non-saline)']
Novosphingobium	Mycoplana	1	2.960594732333755e-17	1.480297366166875e-31	1.480297366166885e-17	['Sediment_(non-saline)']
Novosphingobium	Oribacterium	1	7.401486830834373e-32	7.401486830834373e-32	7.401486830834373e-32	['Plant_rhizosphere']
Novosphingobium	Paracoccus marcusii	1	1.233581138472396e-31	2.467162276944792e-32	7.247289188525325e-32	['Plant_rhizosphere']
Novosphingobium	Pedobacter cryoconitis	1	7.401486830834373e-32	2.467162276944792e-32	4.440892098500625e-32	['Sediment_(non-saline)']
Novosphingobium	Gemmata	1	3.9968028886505626e-30	3.9968028886505626e-30	3.9968028886505626e-30	['Plant_rhizosphere']
Novosphingobium	Candidatus Solibacter	1	7.401486830834373e-32	2.467162276944792e-32	4.934324553889584e-32	['Plant_rhizosphere']
Novosphingobium	Steroidobacter	1	1.233581138472396e-31	2.467162276944792e-32	8.22387425648264e-32	['Plant_rhizosphere']
Novosphingobium	Rhodoplanes	1	3.700743415417188e-31	1.480297366166875e-31	2.8125649957170627e-31	['Sediment_(non-saline)']
Novosphingobium	Corynebacterium	1	6.908054375445417e-31	3.4540271877227086e-31	5.181040781584063e-31	['Sediment_(non-saline)']
