method	N	precision	baseline	lift
SID-synergy	1296	0.0030864197530864196	0.001373534338358459	2.2470641373080396
SID-synergy	1410	0.0028368794326241137	0.001373534338358459	2.065386611312922
SID-synergy	1500	0.0026666666666666666	0.001373534338358459	1.9414634146341463
SID-synergy	1535	0.0026058631921824105	0.001373534338358459	1.8971955191864625
SID-synergy	1671	0.0023937761819269898	0.001373534338358459	1.7427858300126988
SID-synergy	1820	0.002197802197802198	0.001373534338358459	1.6001072098633076
SID-synergy	1981	0.0020191822311963654	0.001373534338358459	1.4700631610051589
SID-synergy	2000	0.002	0.001373534338358459	1.45609756097561
SID-synergy	2157	0.0018544274455261937	0.001373534338358459	1.3501136402184606
SID-synergy	2348	0.0017035775127768314	0.001373534338358459	1.2402875306436199
SID-synergy	2556	0.001564945226917058	0.001373534338358459	1.1393564639871752
SID-synergy	2782	0.0014378145219266715	0.001373534338358459	1.0467991092563693
SID-synergy	3000	0.0013333333333333333	0.001373534338358459	0.9707317073170731
SID-synergy	3029	0.0013205678441729944	0.001373534338358459	0.9614378085015581
SID-synergy	3297	0.001213224143160449	0.001373534338358459	0.8832863578863269
SID-synergy	3590	0.001392757660167131	0.001373534338358459	1.0139955159997283
SID-synergy	3908	0.00127942681678608	0.001373534338358459	0.9314851336844997
SID-synergy	4254	0.0016455101081335214	0.001373534338358459	1.1980116275069663
SID-synergy	4631	0.0015115525804361909	0.001373534338358459	1.1004840128297635
SID-synergy	5000	0.0014	0.001373534338358459	1.0192682926829268
SID-synergy	5042	0.001388337961126537	0.001373534338358459	1.0107777595031007
SID-synergy	5489	0.0012752778283840408	0.001373534338358459	0.9284644677381371
SID-synergy	5975	0.0018410041841004183	0.001373534338358459	1.3403408511072559
SID-synergy	6505	0.0016910069177555726	0.001373534338358459	1.2311355242683863
SID-synergy	7081	0.0016946758932354187	0.001373534338358459	1.233806717392128
SID-synergy	7709	0.0019457776624724349	0.001373534338358459	1.4166210542634678
SID-synergy	8392	0.0020257387988560534	0.001373534338358459	1.4748366620939803
SID-synergy	9136	0.001970227670753065	0.001373534338358459	1.4344218529750972
SID-synergy	9946	0.0018097727729740598	0.001373534338358459	1.3176028603237973
SID-synergy	10000	0.0018	0.001373534338358459	1.3104878048780488
SID-synergy	10827	0.0019395954558049321	0.001373534338358459	1.412120106238469
SID-synergy	11787	0.0018664630525154831	0.001373534338358459	1.3588761492094432
SID-synergy	12832	0.0018703241895261845	0.001373534338358459	1.3616872453013806
SID-synergy	13969	0.0018612642279332808	0.001373534338358459	1.3550911513124009
SID-synergy	15208	0.001841136244082062	0.001373534338358459	1.3404369972158428
SID-synergy	16555	0.0016913319238900633	0.001373534338358459	1.2313721445882535
SID-synergy	18023	0.0016090550962658825	0.001373534338358459	1.1714706005740634
SID-synergy	19620	0.001783893985728848	0.001373534338358459	1.2987618408294175
SID-synergy	20000	0.00175	0.001373534338358459	1.2740853658536586
SID-synergy	21359	0.0016854721662999204	0.001373534338358459	1.2271059552207957
SID-synergy	23253	0.001634197737926289	0.001373534338358459	1.189775670173164
SID-synergy	25314	0.0015801532748676622	0.001373534338358459	1.1504286647512127
SID-synergy	27557	0.0015966904960627063	0.001373534338358459	1.1624685684749216
SID-synergy	30000	0.0015333333333333334	0.001373534338358459	1.1163414634146342
MI-sum(nbins=3)	200	0.005	0.001373534338358459	3.6402439024390247
MI-sum(nbins=3)	218	0.0045871559633027525	0.001373534338358459	3.339673304989931
MI-sum(nbins=3)	237	0.004219409282700422	0.001373534338358459	3.0719357826489655
MI-sum(nbins=3)	258	0.003875968992248062	0.001373534338358459	2.8218944980147476
MI-sum(nbins=3)	281	0.0035587188612099642	0.001373534338358459	2.5909209270028644
MI-sum(nbins=3)	300	0.0033333333333333335	0.001373534338358459	2.4268292682926833
MI-sum(nbins=3)	306	0.0032679738562091504	0.001373534338358459	2.379244380679101
MI-sum(nbins=3)	333	0.003003003003003003	0.001373534338358459	2.186332674137552
MI-sum(nbins=3)	362	0.0027624309392265192	0.001373534338358459	2.011184476485649
MI-sum(nbins=3)	395	0.002531645569620253	0.001373534338358459	1.8431614695893794
MI-sum(nbins=3)	400	0.0025	0.001373534338358459	1.8201219512195124
MI-sum(nbins=3)	430	0.002325581395348837	0.001373534338358459	1.6931366988088485
MI-sum(nbins=3)	468	0.002136752136752137	0.001373534338358459	1.5556597873671048
MI-sum(nbins=3)	500	0.002	0.001373534338358459	1.45609756097561
