target	site	m	topK	truth_sources	truth_pairs	hits_in_topK	hit_rate	topK_mean_synergy	topK_max_synergy
S174	site1	10	80	8	28	0	0.0	0.010857517831027508	0.09006771445274353
S160	site1	10	80	4	6	0	0.0	0.01085699163377285	0.07616612315177917
S176	site1	10	80	8	28	0	0.0	0.010845658369362354	0.12959261238574982
S59	site1	10	80	6	15	0	0.0	0.010839483700692654	0.10395242273807526
S168	site1	10	80	7	21	0	0.0	0.010755331255495548	0.09202165901660919
S103	site1	10	80	10	45	0	0.0	0.010723773390054703	0.11332712322473526
S98	site1	10	80	7	21	0	0.0	0.010598717257380486	0.0937240794301033
S129	site1	10	80	4	6	0	0.0	0.010461272671818733	0.10347618907690048
S142	site1	10	80	10	45	0	0.0	0.010205600410699844	0.08147629350423813
S198	site1	10	80	9	36	0	0.0	0.010196654126048088	0.15313667058944702
S3	site1	10	80	10	45	0	0.0	0.010150132700800896	0.10738416761159897
S194	site1	10	80	7	21	0	0.0	0.010012321174144745	0.15035530924797058
S13	site1	10	80	5	10	0	0.0	0.009904084727168083	0.1348148137331009
S9	site1	10	80	10	45	0	0.0	0.009745420888066292	0.10713392496109009
S26	site1	10	80	10	45	0	0.0	0.009689555503427982	0.09921390563249588
S92	site1	10	80	10	45	0	0.0	0.009424598887562752	0.04923487454652786
S157	site1	10	80	6	15	0	0.0	0.009392084553837776	0.05243232846260071
S54	site1	10	80	8	28	0	0.0	0.009224911220371723	0.04912535846233368
S89	site1	10	80	7	21	0	0.0	0.00831085629761219	0.07461237162351608
